UMLS:C3495144:T048:DISO	Apraxias, Articulatory
UMLS:C3280785:T047:DISO	Ventricular septal defect 3
UMLS:C3280783:T047:DISO	Ventricular septal defect 2
UMLS:C3280781:T047:DISO	Atrioventricular septal defect 4
UMLS:C3280777:T047:DISO	Ventricular septal defect 1
UMLS:C3280766:T047:DISO	Joubert syndrome 14|TMEM237-Related Joubert Syndrome|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280758:T047:DISO	Cataract 37
UMLS:C3280742:T047:DISO	Systemic lupus erythematosus 16
UMLS:C3280741:T047:DISO	Aspartate aminotransferase, serum level of, quantitative trait locus 1|ASPARTATE AMINOTRANSFERASE, REDUCED SERUM LEVEL OF
UMLS:C3280734:T047:DISO	Febrile seizures, familial, 11|CONVULSIONS, FAMILIAL FEBRILE, 11|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280730:T047:DISO	Epilepsy, familial temporal lobe, 5
UMLS:C3280729:T047:DISO	Radiohumeral fusions with other skeletal and craniofacial anomalies
UMLS:C3280721:T047:DISO	Chilblain lupus 2
UMLS:C3280715:T047:DISO	Glycerol release during exercise, defective|GLYCEROL QUANTITATIVE TRAIT LOCUS
UMLS:C3280703:T047:DISO	Myopathy, centronuclear, 3
UMLS:C3280692:T047:DISO	Microcephaly, cerebellar hypoplasia, and cardiac conduction defect syndrome|ZAKI-GLEESON SYNDROME|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280689:T047:DISO	Glucocorticoid therapy, response to
UMLS:C3280679:T047:DISO	Myopathy, areflexia, respiratory distress, and dysphagia, early-onset
UMLS:C3280678:T047:DISO	Graft-versus-host disease, resistance to
UMLS:C3280660:T047:DISO	Encephalopathy due to defective mitochondrial and peroxisomal fission 1|Lethal Encephalopathy Due To Defective Mitochondrial Peroxisomal Fission|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280646:T047:DISO	Bacteremia, resistance to
UMLS:C3280644:T047:DISO	Hypomyelinating leukodystrophy 8, with or without oligodontia and/or hypogonadotropic hypogonadism|LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH HYPODONTIA AND HYPOGONADOTROPIC HYPOGONADISM|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280642:T047:DISO	C4a deficiency
UMLS:C3280641:T047:DISO	Decreased serum complement C4b|C4b deficiency|Complement component 4B deficiency
UMLS:C3280616:T047:DISO	Cranioectodermal dysplasia 4|Cranioectodermal Dysplasia|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280612:T047:DISO	Nephronophthisis 13
UMLS:C3280598:T047:DISO	Asphyxiating thoracic dystrophy 5|SHORT-RIB THORACIC DYSPLASIA 5 WITH OR WITHOUT POLYDACTYLY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280597:T047:DISO	Aortic aneurysm, familial abdominal 4
UMLS:C3280587:T047:DISO	Amyotrophic lateral sclerosis 16, juvenile
UMLS:C3280586:T047:DISO	Mannose-binding protein deficiency|LECTIN COMPLEMENT ACTIVATION PATHWAY, DEFECT IN, 1|MANNOSE-BINDING LECTIN DEFICIENCY|MBL DEFICIENCY|MBL2 DEFICIENCY|MBP DEFICIENCY
UMLS:C3280574:T047:DISO	Surfactant metabolism dysfunction, pulmonary, 5|CSF2RB DEFICIENCY|PAP DUE TO CSF2RB DEFICIENCY|PULMONARY ALVEOLAR PROTEINOSIS 5|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280556:T047:DISO	Peripheral neuropathy, myopathy, hoarseness, and hearing loss
UMLS:C3280545:T047:DISO	Mental retardation, autosomal recessive 28
UMLS:C3280544:T047:DISO	Mental retardation, autosomal recessive 25
UMLS:C3280543:T047:DISO	Mental retardation, autosomal recessive 24
UMLS:C3280542:T047:DISO	Mental retardation, autosomal recessive 23
UMLS:C3280541:T047:DISO	Mental retardation, autosomal recessive 19
UMLS:C3280540:T047:DISO	Mental retardation, autosomal recessive 30
UMLS:C3280539:T047:DISO	Mental retardation, autosomal recessive 33
UMLS:C3280538:T047:DISO	Mental retardation, autosomal recessive 27
UMLS:C3280530:T047:DISO	LIPASE AND COLIPASE, CONGENITAL ABSENCE OF PANCREATIC
UMLS:C3280529:T047:DISO	LIPASE AND COLIPASE, DEFICIENCY OF
UMLS:C3280528:T047:DISO	COLIPASE, CONGENITAL ABSENCE OF PANCREATIC
UMLS:C3280527:T047:DISO	Pancreatic lipase deficiency|LIPASE, CONGENITAL ABSENCE OF PANCREATIC|PL DEFICIENCY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280526:T047:DISO	Distal arthrogryposis type 1B
UMLS:C3280525:T047:DISO	Mental retardation, autosomal recessive 29
UMLS:C3280524:T047:DISO	Schizophrenia 17|SCHIZOPHRENIA, SUSCEPTIBILITY TO, 17
UMLS:C3280523:T047:DISO	Mental retardation, autosomal recessive 31
UMLS:C3280501:T047:DISO	Inflammatory skin and bowel disease, neonatal 1
UMLS:C3280492:T047:DISO	Tumor susceptibility linked to germline BAP1 mutations|Tumor predisposition syndrome|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280489:T047:DISO	Feingold syndrome 2|BRACHYDACTYLY WITH SHORT STATURE AND MICROCEPHALY|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280479:T047:DISO	Pitt-Hopkins-like syndrome 2
UMLS:C3280471:T047:DISO	Ovarian dysgenesis 3
UMLS:C3280452:T047:DISO	Spinocerebellar ataxia, autosomal recessive 12|SPINOCEREBELLAR ATAXIA WITH MENTAL RETARDATION AND EPILEPSY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280443:T047:DISO	Distal myopathy, Tateyama type|CAV3-Related Distal Myopathy|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280442:T191:DISO	Pancreatic cancer 4|PANCREATIC CANCER, SUSCEPTIBILITY TO, 4
UMLS:C3280441:T047:DISO	Vesicoureteral reflux 6
UMLS:C3280440:T047:DISO	Vesicoureteral reflux 5
UMLS:C3280439:T047:DISO	Vesicoureteral reflux 4
UMLS:C3280428:T047:DISO	Alpha-methylacyl-CoA racemase deficiency|AMACR DEFICIENCY
UMLS:C3280415:T047:DISO	Cognitive impairment with or without cerebellar ataxia
UMLS:C3280402:T047:DISO	Sclerosteosis 2
UMLS:C3280392:T047:DISO	EDICT syndrome|ENDOTHELIAL DYSTROPHY, IRIS HYPOPLASIA, CONGENITAL CATARACT, AND STROMAL THINNING SYNDROME|KERATOCONUS WITH CATARACT|KERATOCONUS, FAMILIAL, WITH EARLY-ONSET ANTERIOR POLAR CATARACT|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280381:T047:DISO	Hypermethioninemia due to adenosine kinase deficiency|MENTAL RETARDATION, AUTOSOMAL RECESSIVE 8|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280378:T047:DISO	Multiple mitochondrial dysfunctions syndrome 2|MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 2 WITH HYPERGLYCINEMIA|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280371:T047:DISO	Neurodegeneration with brain iron accumulation 4|MITOCHONDRIAL PROTEIN-ASSOCIATED NEURODEGENERATION|Mitochondrial Membrane Protein Associated Neurodegeneration|NBIA4|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280358:T047:DISO	Wolfram-like syndrome, autosomal dominant|HEARING LOSS, PROGRESSIVE, WITH OPTIC ATROPHY AND/OR IMPAIRED GLUCOSE REGULATION|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280355:T047:DISO	Chromosome 15q25 deletion syndrome
UMLS:C3280352:T047:DISO	HYDATIDIFORM MOLE, RECURRENT, 2
UMLS:C3280346:T047:DISO	Myopia, high, with cataract and vitreoretinal degeneration
UMLS:C3280345:T191:DISO	Breast-ovarian cancer, familial 4|BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4|RAD51D-Related Familial Susceptibility to Breast-Ovarian Cancer
UMLS:C3280342:T047:DISO	Stickler syndrome, type 5|COL9A2-Related Stickler Syndrome|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280315:T047:DISO	Platelet-activating factor acetylhydrolase deficiency
UMLS:C3280314:T047:DISO	Combined malonic and methylmalonic aciduria
UMLS:C3280309:T047:DISO	Arthrogryposis, perthes disease, and upward gaze palsy
UMLS:C3280296:T047:DISO	Microcephaly-capillary malformation syndrome
UMLS:C3280285:T047:DISO	Mental retardation, autosomal dominant 11
UMLS:C3280284:T047:DISO	Mental retardation, autosomal dominant 10
UMLS:C3280283:T047:DISO	Mental retardation, autosomal dominant 9
UMLS:C3280282:T047:DISO	Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal dominant|Mental retardation, autosomal dominant 8|NEURODEVELOPMENTAL DISORDER WITH HYPERKINETIC MOVEMENTS, WITH OR WITHOUT SEIZURES, AUTOSOMAL DOMINANT|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280275:T047:DISO	Aneurysm, intracranial berry, 11
UMLS:C3280271:T047:DISO	Parkinson disease 18|PARKINSON DISEASE 18, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280266:T047:DISO	Narcolepsy 7
UMLS:C3280265:T047:DISO	Mental retardation, autosomal recessive 18
UMLS:C3280253:T047:DISO	Hypotrichosis 10
UMLS:C3280252:T047:DISO	Hypotrichosis 9
UMLS:C3280240:T047:DISO	Microcephaly, epilepsy, and diabetes syndrome
UMLS:C3280231:T047:DISO	Chromosome 8q21.11 deletion syndrome
UMLS:C3280226:T047:DISO	Spinocerebellar ataxia, autosomal recessive 11
UMLS:C3280220:T047:DISO	Charcot-Marie-Tooth disease, axonal, type 2O|CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2O|CHARCOT-MARIE-TOOTH NEUROPATHY, AXONAL, TYPE 2O|Charcot-Marie-Tooth Neuropathy Type 2O|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280216:T047:DISO	Hyperuricemic nephropathy, familial juvenile, 3
UMLS:C3280215:T047:DISO	Holoprosencephaly 11
UMLS:C3280214:T047:DISO	Warburg micro syndrome 2|MICRO SYNDROME 2|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280205:T047:DISO	Retinal arterial macroaneurysm with supravalvular pulmonic stenosis
UMLS:C3280203:T047:DISO	Warburg micro syndrome 3|MICRO SYNDROME 3|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280202:T047:DISO	Biliary cirrhosis, primary, 5
UMLS:C3280201:T047:DISO	Biliary cirrhosis, primary, 4
UMLS:C3280182:T047:DISO	Adams-Oliver syndrome 2
UMLS:C3280168:T047:DISO	Hereditary sensory and autonomic neuropathy type IIC
UMLS:C3280156:T191:DISO	Lung cancer susceptibility 5
UMLS:C3280155:T047:DISO	Meckel syndrome, type 9|B9D1-Related Meckel Syndrome|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280154:T047:DISO	Mental retardation, autosomal recessive 16
UMLS:C3280153:T047:DISO	Hyperphosphatasia with mental retardation syndrome 3|GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 8|MENTAL RETARDATION, AUTOSOMAL RECESSIVE 21|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280146:T047:DISO	Three M syndrome 3|3-M Syndrome, CCDC8-Related|3M SYNDROME 3|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280133:T047:DISO	Parkinson disease 17
UMLS:C3280127:T047:DISO	Mental retardation, autosomal recessive 15
UMLS:C3280120:T047:DISO	Platelet-type bleeding disorder 11|GLYCOPROTEIN VI DEFICIENCY|GP VI DEFICIENCY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280114:T047:DISO	Platelet-type bleeding disorder 9|COLLAGEN PLATELET RECEPTOR DEFICIENCY|GLYCOPROTEIN Ia DEFICIENCY|GP Ia DEFICIENCY|Glycoprotein 1a Deficiency|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280113:T047:DISO	Nephrotic syndrome, type 5, with or without ocular abnormalities|NEPHROTIC SYNDROME, TYPE 5, WITH OCULAR ABNORMALITIES|NEPHROTIC SYNDROME, TYPE 5, WITHOUT OCULAR ABNORMALITIES|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280112:T047:DISO	MYASTHENIC SYNDROME, CONGENITAL, 16
UMLS:C3280100:T047:DISO	Nephrotic syndrome, type 6
UMLS:C3280099:T047:DISO	Craniofacial anomalies and anterior segment dysgenesis syndrome
UMLS:C3280096:T047:DISO	Transferrin serum level quantitative trait locus 2
UMLS:C3280095:T047:DISO	Macrocephaly, macrosomia, facial dysmorphism syndrome
UMLS:C3280094:T047:DISO	Pigmented nodular adrenocortical disease, primary, 3|CUSHING SYNDROME, ADRENAL, DUE TO PPNAD3|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280073:T047:DISO	Craniosynostosis and dental anomalies|KREIBORG-PAKISTANI SYNDROME|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280065:T047:DISO	Hypertelorism, preauricular sinus, punctal pits, and deafness
UMLS:C3280062:T047:DISO	Leber congenital amaurosis 16|KCNJ13-Related Leber Congenital Amaurosis|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280054:T047:DISO	Geleophysic dysplasia 2
UMLS:C3280042:T047:DISO	Retinitis pigmentosa 62
UMLS:C3280041:T047:DISO	Retinitis pigmentosa 61
UMLS:C3280036:T047:DISO	Meckel syndrome, type 10|B9D2-Related Meckel Syndrome|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280031:T047:DISO	Joubert syndrome 13|Joubert Syndrome and Related Disorders|TCTN1-Related Joubert Syndrome|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280030:T047:DISO	Dendritic cell, monocyte, B lymphocyte, and natural killer lymphocyte deficiency|COMBINED IMMUNODEFICIENCY WITH SUSCEPTIBILITY TO MYCOBACTERIAL, VIRAL, AND FUNGAL INFECTIONS|GATA2 DEFICIENCY|IMMUNODEFICIENCY 21|MONOCYTOPENIA AND MYCOBACTERIAL INFECTION SYNDROME|MONOCYTOPENIA WITH SUSCEPTIBILITY TO MYCOBACTERIAL, FUNGAL, AND PAPILLOMAVIRUS INFECTIONS AND MYELODYSPLASIA|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product|MedGen UID: 832438, Concept ID: CN227390, Intellectual Product
UMLS:C3280026:T047:DISO	Hermansky-Pudlak syndrome 9
UMLS:C3280011:T047:DISO	Brittle cornea syndrome 2
UMLS:C3279997:T047:DISO	Myopia 21, autosomal dominant
UMLS:C3279996:T047:DISO	Myopia 20, autosomal dominant
UMLS:C3279992:T047:DISO	Paragangliomas 5|SDHA-Related Hereditary Paraganglioma-Pheochromocytoma Syndrome|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3279990:T047:DISO	Immunodeficiency 31C|CANDIDIASIS, FAMILIAL CHRONIC MUCOCUTANEOUS, AUTOSOMAL DOMINANT|Candidiasis, familial, 7|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3279974:T047:DISO	Nail disorder, nonsyndromic congenital, 10|CLAW-SHAPED NAILS|ONYCHAUXIS, HYPONYCHIA, AND ONYCHOLYSIS|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279964:T047:DISO	Hyperbiliverdinemia|GREEN JAUNDICE|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3279948:T047:DISO	Deafness, autosomal dominant 64
UMLS:C3279947:T047:DISO	Nail disorder, nonsyndromic congenital, 9|ANONYCHIA-ONYCHOLYSIS, ISOLATED|NAIL DYSPLASIA|ONYCHODYSTROPHY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279941:T047:DISO	Stickler syndrome, type 4|COL9A1-Related Stickler Syndrome
UMLS:C3279905:T047:DISO	Focal segmental glomerulosclerosis 6
UMLS:C3279904:T047:DISO	Reduced lactate dehydrogenase B level
UMLS:C3279902:T047:DISO	Chitotriosidase deficiency
UMLS:C3279899:T047:DISO	Hydrolethalus syndrome 2
UMLS:C3279885:T047:DISO	Hereditary sensory neuropathy type IE|DNMT1-Related Dementia, Deafness, and Sensory Neuropathy|HSN IE|NEUROPATHY, HEREDITARY SENSORY, WITH HEARING LOSS AND DEMENTIA|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3279875:T047:DISO	Cortical malformations, occipital
UMLS:C3279843:T047:DISO	Mosaic variegated aneuploidy syndrome 2
UMLS:C3279842:T047:DISO	Mental retardation, autosomal dominant 2
UMLS:C3279841:T047:DISO	Pyruvate dehydrogenase E1-beta deficiency
UMLS:C3279840:T047:DISO	Methylmalonate semialdehyde dehydrogenase deficiency|MMSDH DEFICIENCY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279839:T047:DISO	Mental retardation, autosomal dominant 7|DYRK1A-Related Intellectual Disability Syndrome|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product|MedGen UID: 831588, Concept ID: CN227389, Intellectual Product|MedGen UID: 832438, Concept ID: CN227390, Intellectual Product
UMLS:C3279807:T047:DISO	Cranioectodermal dysplasia 3|Cranioectodermal Dysplasia|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279800:T047:DISO	Keppen-Lubinsky syndrome
UMLS:C3279793:T047:DISO	Combined oxidative phosphorylation deficiency 8|CARDIOMYOPATHY, HYPERTROPHIC MITOCHONDRIAL, FATAL INFANTILE|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279792:T047:DISO	Short rib polydactyly syndrome 5|SHORT-RIB THORACIC DYSPLASIA 7 WITH OR WITHOUT POLYDACTYLY|SHORT-RIB THORACIC DYSPLASIA 7 WITH POLYDACTYLY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279790:T047:DISO	Atrial septal defect 3
UMLS:C3279787:T047:DISO	Hypohaptoglobinemia
UMLS:C3279786:T047:DISO	Anhaptoglobinemia|AHAPTOGLOBINEMIA|ANHAPTOGLOBINEMIA, SUSCEPTIBILITY TO
UMLS:C3279775:T047:DISO	Multiple congenital anomalies-hypotonia-seizures syndrome 1|GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 3|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279757:T047:DISO	Chondrodysplasia with joint dislocations, GPAPP type|Chondrodysplasia with Joint Dislocations, GRAPP Type|GPAPP DEFICIENCY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279756:T047:DISO	Hermansky-Pudlak syndrome 7|Hermansky-Pudlak Syndrome|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279748:T047:DISO	Immunodeficiency-centromeric instability-facial anomalies syndrome 2
UMLS:C3279743:T047:DISO	Spastic paraplegia 52, autosomal recessive|Cerebral palsy, spastic quadriplegic, 6|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279738:T047:DISO	Spastic paraplegia 47, autosomal recessive|Cerebral palsy, spastic quadriplegic, 5|adaptor protein 4 (AP-4) deficiency syndrome|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279722:T047:DISO	Myopathy, distal, 4|WILLIAMS DISTAL MYOPATHY|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3279716:T047:DISO	N-acetylaspartate deficiency|HYPOACETYLASPARTIA|NAA DEFICIENCY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279708:T047:DISO	Nuclearly-encoded mitochondrial complex V (ATP synthase) deficiency 3|MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, ATP5E TYPE|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279699:T047:DISO	Nuclearly-encoded mitochondrial complex V (ATP synthase) deficiency 2|ENCEPHALOCARDIOMYOPATHY, MITOCHONDRIAL, NEONATAL, DUE TO ATP SYNTHASE DEFICIENCY|MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, TMEM70 TYPE|Nuclear-Encoded ATPase Deficiency, TMEM70-Related|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279695:T047:DISO	Atrial fibrillation, familial, 12|ABCC9-Related Familial Atrial Fibrillation|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3279693:T047:DISO	Atrial fibrillation, familial, 11|GJA5-Related Familial Atrial Fibrillation|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3279690:T047:DISO	Moyamoya disease 5
UMLS:C3279664:T047:DISO	Lymphedema, primary, with myelodysplasia|EMBERGER SYNDROME|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3279662:T047:DISO	Leukotriene c4 synthase deficiency|LTC4 SYNTHASE DEFICIENCY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279661:T047:DISO	Alpha-2-macroglobulin deficiency
UMLS:C3279660:T047:DISO	Deafness, autosomal recessive 29|DFNB29 Nonsyndromic Hearing Loss and Deafness|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279657:T047:DISO	Hydroxyacyl glutathione hydrolase deficiency|GLYOXALASE II DEFICIENCY
UMLS:C3279627:T047:DISO	Epilepsy, progressive myoclonic 6
UMLS:C3279564:T047:DISO	Osteogenesis imperfecta, type VI|OI type 6|OI type VI|Osteogenesis imperfecta type 6|SERPINF1-Related Osteogenesis Imperfecta|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3279561:T047:DISO	HEMOGLOBIN H DISEASE, NONDELETIONAL
UMLS:C3279470:T047:DISO	Hypotrichosis, Localized, Autosomal Recessive, 3
UMLS:C3279457:T047:DISO	Trichoodontoonychial dysplasia
UMLS:C3279393:T047:DISO	PXE, MODIFIER OF SEVERITY OF
UMLS:C3279392:T047:DISO	PSEUDOXANTHOMA ELASTICUM, MODIFIER OF SEVERITY OF
UMLS:C3279203:T047:DISO	Joubert syndrome 11
UMLS:C3279093:T047:DISO	Long QT syndrome 2/9, digenic
UMLS:C3279092:T047:DISO	LONG QT SYNDROME 2/5, DIGENIC
UMLS:C3278664:T047:DISO	Liver failure acute infantile|LIVER FAILURE, INFANTILE, TRANSIENT
UMLS:C3278622:T047:DISO	OROTIC ACIDURIA WITHOUT MEGALOBLASTIC ANEMIA
UMLS:C3278482:T047:DISO	DESBUQUOIS DYSPLASIA, KIM VARIANT
UMLS:C3278481:T047:DISO	Microcephaly with chorioretinopathy, autosomal recessive|MICROCEPHALY AND CHORIORETINOPATHY, AUTOSOMAL RECESSIVE, 1
